timestamp,memory_allocated_mb,memory_reserved_mb,utilization%
18:06:26,0.00,0.00,0
18:06:28,0.00,0.00,0
18:06:30,0.00,0.00,0
18:06:32,0.00,0.00,0
18:06:34,0.00,0.00,0
18:06:36,0.00,0.00,0
18:06:38,0.00,0.00,0
18:06:40,0.00,0.00,0
18:06:42,0.00,0.00,0
18:06:45,0.00,0.00,0
18:06:47,0.00,0.00,0
18:06:49,0.00,0.00,0
18:06:51,0.00,0.00,0
18:06:53,0.00,0.00,0
18:06:55,0.00,0.00,0
18:06:57,0.00,0.00,0
18:06:59,0.00,0.00,0
18:07:01,0.00,0.00,0
18:07:03,0.00,0.00,0
18:07:05,0.00,0.00,0
18:07:07,0.00,0.00,0
